"X","trialNum","rt","subject","condition","InducerL","InducerR","ConcurrentL","ConcurrentR","choice"
0,1,7028,"1d8E46bnpK","Affect-2","Affect-PD-L","Affect-PD-H","Pitch-Tone-H","Pitch-Tone-L",0
1,2,8139,"1d8E46bnpK","Affect-2","Pitch-Tone-L","Pitch-Tone-H","Affect-HS-L","Affect-HS-H",0
2,3,3655,"1d8E46bnpK","Affect-2","Speed-SP4-H","Speed-SP4-L","Affect-EB-L","Affect-EB-H",1
3,4,4712,"1d8E46bnpK","Affect-2","Affect-SC-H","Affect-SC-L","Amp-Tone-H","Amp-Tone-L",0
4,5,4412,"1d8E46bnpK","Affect-2","Brightness-Diamonds-H","Brightness-Diamonds-L","Affect-SC-H","Affect-SC-L",0
5,6,5208,"1d8E46bnpK","Affect-2","Amp-Tone-L","Amp-Tone-H","Affect-HS-L","Affect-HS-H",0
6,7,4758,"1d8E46bnpK","Affect-2","Affect-PD-L","Affect-PD-H","Noise-Tone-H","Noise-Tone-L",0
7,8,4281,"1d8E46bnpK","Affect-2","Affect-SC-H","Affect-SC-L","Shape-BK3-H","Shape-BK3-L",0
8,9,5550,"1d8E46bnpK","Affect-2","Affect-EB-H","Affect-EB-L","Pitch-Tone-L","Pitch-Tone-H",1
9,10,4751,"1d8E46bnpK","Affect-2","Brightness-Diamonds-L","Brightness-Diamonds-H","Affect-PD-H","Affect-PD-L",1
10,11,4074,"1d8E46bnpK","Affect-2","Color-YB-H","Color-YB-L","Affect-EB-L","Affect-EB-H",1
11,12,5142,"1d8E46bnpK","Affect-2","Affect-EB-H","Affect-EB-L","Amp-Tone-L","Amp-Tone-H",1
12,13,4107,"1d8E46bnpK","Affect-2","Affect-HS-L","Affect-HS-H","Noise-Tone-L","Noise-Tone-H",1
13,14,3380,"1d8E46bnpK","Affect-2","Shape-BK3-H","Shape-BK3-L","Affect-SC-H","Affect-SC-L",0
14,15,2939,"1d8E46bnpK","Affect-2","Color-YB-H","Color-YB-L","Affect-SC-H","Affect-SC-L",0
15,16,3373,"1d8E46bnpK","Affect-2","Size-Squares-H","Size-Squares-L","Affect-SC-H","Affect-SC-L",0
16,17,5565,"1d8E46bnpK","Affect-2","Affect-PD-L","Affect-PD-H","Shape-BK3-H","Shape-BK3-L",1
17,18,2817,"1d8E46bnpK","Affect-2","Affect-PD-L","Affect-PD-H","Size-Squares-H","Size-Squares-L",1
18,19,3683,"1d8E46bnpK","Affect-2","Speed-SP4-H","Speed-SP4-L","Affect-SC-H","Affect-SC-L",0
19,20,4317,"1d8E46bnpK","Affect-2","Affect-HS-L","Affect-HS-H","Amp-Tone-L","Amp-Tone-H",0
20,21,4240,"1d8E46bnpK","Affect-2","Affect-PD-L","Affect-PD-H","Amp-Tone-H","Amp-Tone-L",1
21,22,3400,"1d8E46bnpK","Affect-2","Affect-EB-H","Affect-EB-L","Speed-SP4-L","Speed-SP4-H",1
22,23,5163,"1d8E46bnpK","Affect-2","Affect-HS-L","Affect-HS-H","Pitch-Tone-L","Pitch-Tone-H",0
23,24,5343,"1d8E46bnpK","Affect-2","Shape-BK3-L","Shape-BK3-H","Affect-HS-L","Affect-HS-H",0
24,25,2175,"1d8E46bnpK","Affect-2","Size-Squares-L","Size-Squares-H","Affect-HS-L","Affect-HS-H",0
25,26,2978,"1d8E46bnpK","Affect-2","Affect-HS-L","Affect-HS-H","Speed-SP4-L","Speed-SP4-H",0
26,27,3950,"1d8E46bnpK","Affect-2","Affect-EB-H","Affect-EB-L","Size-Squares-L","Size-Squares-H",1
27,28,5044,"1d8E46bnpK","Affect-2","Noise-Tone-H","Noise-Tone-L","Affect-EB-L","Affect-EB-H",0
28,29,2576,"1d8E46bnpK","Affect-2","Affect-SC-H","Affect-SC-L","Speed-SP4-H","Speed-SP4-L",0
29,30,3455,"1d8E46bnpK","Affect-2","Color-YB-L","Color-YB-H","Affect-HS-L","Affect-HS-H",0
30,31,6565,"1d8E46bnpK","Affect-2","Pitch-Tone-L","Pitch-Tone-H","Affect-PD-H","Affect-PD-L",1
31,32,5934,"1d8E46bnpK","Affect-2","Pitch-Tone-H","Pitch-Tone-L","Affect-EB-L","Affect-EB-H",1
32,33,3563,"1d8E46bnpK","Affect-2","Brightness-Diamonds-H","Brightness-Diamonds-L","Affect-EB-L","Affect-EB-H",1
