"condition"
"Affect-1"
"Affect-10"
"Affect-100"
"Affect-11"
"Affect-12"
"Affect-13"
"Affect-14"
"Affect-15"
"Affect-16"
"Affect-17"
"Affect-18"
"Affect-19"
"Affect-2"
"Affect-20"
"Affect-21"
"Affect-22"
"Affect-23"
"Affect-24"
"Affect-25"
"Affect-26"
"Affect-27"
"Affect-28"
"Affect-29"
"Affect-3"
"Affect-30"
"Affect-31"
"Affect-32"
"Affect-33"
"Affect-34"
"Affect-35"
"Affect-36"
"Affect-37"
"Affect-38"
"Affect-39"
"Affect-4"
"Affect-40"
"Affect-41"
"Affect-42"
"Affect-43"
"Affect-44"
"Affect-45"
"Affect-46"
"Affect-47"
"Affect-48"
"Affect-49"
"Affect-5"
"Affect-50"
"Affect-51"
"Affect-52"
"Affect-53"
"Affect-54"
"Affect-55"
"Affect-56"
"Affect-57"
"Affect-58"
"Affect-59"
"Affect-6"
"Affect-60"
"Affect-61"
"Affect-62"
"Affect-63"
"Affect-64"
"Affect-65"
"Affect-66"
"Affect-67"
"Affect-68"
"Affect-69"
"Affect-7"
"Affect-70"
"Affect-71"
"Affect-72"
"Affect-73"
"Affect-74"
"Affect-75"
"Affect-76"
"Affect-77"
"Affect-78"
"Affect-79"
"Affect-8"
"Affect-80"
"Affect-81"
"Affect-82"
"Affect-83"
"Affect-84"
"Affect-85"
"Affect-86"
"Affect-87"
"Affect-88"
"Affect-89"
"Affect-9"
"Affect-90"
"Affect-91"
"Affect-92"
"Affect-93"
"Affect-94"
"Affect-95"
"Affect-96"
"Affect-97"
"Affect-98"
"Affect-99"
