"","Inducer","Concurrent","Comparison","Response.mean.mean","Response.mean.sd","Inducer2","Concurrent2","pValue","ZValue","effsize"
"165","Speed","Color YB","Color YB-Speed",1,0,"Fast/Slow","Yellow/Blue",0.353303909160924,-0.928199855943393,0.166709615467922
"166","Color YB","Speed","Color YB-Speed",0.928571428571429,0.267261241912424,"Yellow/Blue","Fast/Slow",0.618694133460674,-0.497701950006793,0.0807379176296537
"167","Pitch","Noise","Noise-Pitch",0.597560975609756,0.390824644104008,"High Pitch/Low Pitch","Noisy/Tonal",0.573023776832493,-0.56360383420892,0.101226236866542
"168","Noise","Pitch","Noise-Pitch",0.609756097560976,0.379344749567449,"Noisy/Tonal","High Pitch/Low Pitch",0.284742025030072,-1.06972740944767,0.218357193084674
"169","Shape","Noise","Noise-Shape",0.661290322580645,0.368263872202925,"Jagged/Curvy","Noisy/Tonal",0.00847046309332441,-2.63271805337462,0.480666355128123
"170","Noise","Shape","Noise-Shape",0.75,0.365148371670111,"Noisy/Tonal","Jagged/Curvy",0.153840534491787,-1.42609634217189,0.269506876214693
"171","Size","Noise","Noise-Size",0.5125,0.445598128707575,"Large/Small","Noisy/Tonal",0.723811529253396,-0.353369391938817,0.0606023507501757
"172","Noise","Size","Noise-Size",0.4875,0.445598128707575,"Noisy/Tonal","Large/Small",0.531842017919673,-0.625196623181807,0.12261114543986
"173","Speed","Noise","Noise-Speed",0.55,0.406838102172486,"Fast/Slow","Noisy/Tonal",0.0428764504062397,-2.02491152070076,0.369696572279965
"174","Noise","Speed","Noise-Speed",0.575,0.400161605285699,"Noisy/Tonal","Fast/Slow",0.00555335219386895,-2.77305038344397,0.490210682676297
"175","Shape","Pitch","Pitch-Shape",0.580645161290323,0.378522878955121,"Jagged/Curvy","High Pitch/Low Pitch",0.105950995053689,-1.6166632302369,0.317053744534072
"176","Pitch","Shape","Pitch-Shape",0.661290322580645,0.344893625489405,"High Pitch/Low Pitch","Jagged/Curvy",9.55906776486905e-07,-4.90050489142998,0.926108374384237
"177","Size","Pitch","Pitch-Size",0.258064516129032,0.325857017262057,"Large/Small","High Pitch/Low Pitch",0.0175446503061835,-2.37509045021674,0.262284862983229
"178","Pitch","Size","Pitch-Size",0.209677419354839,0.282081357897182,"High Pitch/Low Pitch","Large/Small",0.000178958367977468,-3.7470052136642,0.475870138005729
"179","Speed","Pitch","Pitch-Speed",0.536585365853659,0.377330158853606,"Fast/Slow","High Pitch/Low Pitch",1,0,0
"180","Pitch","Speed","Pitch-Speed",0.597560975609756,0.406502032515244,"High Pitch/Low Pitch","Fast/Slow",0.24314908082015,-1.16715177820372,0.150678646649313
"181","Size","Shape","Shape-Size",0.5,0.403112887414928,"Large/Small","Jagged/Curvy",0.00963965970215515,-2.58849410475108,0.328739080042631
"182","Shape","Size","Shape-Size",0.524390243902439,0.43230804283802,"Jagged/Curvy","Large/Small",5.55942124955116e-07,-5.00592565698364,0.635753194190435
"183","Speed","Shape","Shape-Speed",0.798387096774194,0.338004899118278,"Fast/Slow","Jagged/Curvy",0.124802890588878,-1.53492239979993,0.169503823016372
"184","Shape","Speed","Shape-Speed",0.82258064516129,0.267656094543421,"Jagged/Curvy","Fast/Slow",0.792880138248887,-0.262572448194663,0.0289962761593452
"185","Speed","Size","Size-Speed",0.383333333333333,0.424128586010498,"Fast/Slow","Large/Small",2.78113280011116e-08,-5.55468471589465,0.705445664364638
"186","Size","Speed","Size-Speed",0.325,0.416005222115764,"Large/Small","Fast/Slow",0.00548054181539702,-2.77734235794733,0.358553356634881
