"","Inducer","Concurrent","Comparison","Response.mean.mean","Response.mean.sd","Inducer2","Concurrent2","pValue","ZValue","effsize"
"15","Pitch","Affect EB","Affect EB-Pitch",0.525641025641026,0.418585326084987,"High Pitch/Low Pitch","Excited/Bored",0.0355134286016265,-2.1024551030444,0.561904761904762
"16","Affect EB","Pitch","Affect EB-Pitch",0.527777777777778,0.436302048040326,"Excited/Bored","High Pitch/Low Pitch",1,0,0
"17","Shape","Affect EB","Affect EB-Shape",0.448717948717949,0.437716165563304,"Jagged/Curvy","Excited/Bored",0.00260191996916328,-3.01122963665124,0.835164835164835
"18","Affect EB","Shape","Affect EB-Shape",0.583333333333333,0.492592183071889,"Excited/Bored","Jagged/Curvy",0.00625363334482939,-2.73417744312914,0.449496002763582
"19","Size","Affect EB","Affect EB-Size",0.8125,0.403112887414928,"Large/Small","Excited/Bored",0.724560719066644,-0.352370104671341,0.0654334857504278
"20","Affect EB","Size","Affect EB-Size",0.676470588235294,0.465737871238621,"Excited/Bored","Large/Small",0.71516275238571,-0.364931215319254,0.0616846338620632
"21","Speed","Affect EB","Affect EB-Speed",0.90625,0.271952814534679,"Fast/Slow","Excited/Bored",9.31420580523817e-05,-3.90779558164233,0.725659422059862
"22","Affect EB","Speed","Affect EB-Speed",0.941176470588235,0.242535625036333,"Excited/Bored","Fast/Slow",1.68992032529431e-07,-5.23056577648649,0.884126984126984
"23","Amp","Affect HS","Affect HS-Amp",1,0,"Loud/Quiet","Happy/Sad",0.670008886498526,-0.426135811659648,0.086984608307741
"24","Affect HS","Amp","Affect HS-Amp",0.928571428571429,0.267261241912424,"Happy/Sad","Loud/Quiet",0.00283935091290002,-2.98461538461538,0.585331234104734
"25","Brightness","Affect HS","Affect HS-Brightness",1,0,"Bright/Dark","Happy/Sad",0.484018354704782,-0.699854212223765,0.285714285714286
"26","Affect HS","Brightness","Affect HS-Brightness",1,0,"Happy/Sad","Bright/Dark",0.0235133227840033,-2.26498951759007,0.653846153846154
"27","Color RB","Affect HS","Affect HS-Color RB",0.666666666666667,0.577350269189626,"Red/Blue","Happy/Sad",0.423710797166793,-0.8,0.4
"28","Affect HS","Color RB","Affect HS-Color RB",1,0,"Happy/Sad","Red/Blue",0.0393672406234953,-2.06032752128138,0.621212121212121
"29","Color RG","Affect HS","Affect HS-Color RG",0.285714285714286,0.487950036474267,"Red/Green","Happy/Sad",0.0070746204828143,-2.69331118157055,0.561594202898551
"30","Affect HS","Color RG","Affect HS-Color RG",0.142857142857143,0.377964473009227,"Happy/Sad","Red/Green",0.557111304761632,-0.587137588089611,0.112994681511628
"31","Color RY","Affect HS","Affect HS-Color RY",0.666666666666667,0.577350269189626,"Red/Yellow","Happy/Sad",0.00511026066085587,-2.8,0.583840359359809
"32","Affect HS","Color RY","Affect HS-Color RY",0.333333333333333,0.577350269189626,"Happy/Sad","Red/Yellow",0.00974876789741285,-2.58461538461538,0.516923076923077
