"Id"	"TrialNum"	"Focal1"	"Inducer"	"Concurrent"	"TrialType"	"InducerL"	"InducerR"	"ConcurrentL"	"ConcurrentR"
"Affect-61"	1	"Affect"	"Amp"	"Affect"	3	"Amp-Hum-L"	"Amp-Hum-H"	"Affect-HS-H"	"Affect-HS-L"
"Affect-61"	2	"Affect"	"Noise"	"Affect"	2	"Noise-Tone-H"	"Noise-Tone-L"	"Affect-PD-L"	"Affect-PD-H"
"Affect-61"	3	"Affect"	"Size"	"Affect"	2	"Size-Circles-H"	"Size-Circles-L"	"Affect-PD-L"	"Affect-PD-H"
"Affect-61"	4	"Affect"	"Pitch"	"Affect"	1	"Pitch-Tone-H"	"Pitch-Tone-L"	"Affect-EB-H"	"Affect-EB-L"
"Affect-61"	5	"Affect"	"Affect"	"Noise"	4	"Affect-SC-L"	"Affect-SC-H"	"Noise-Tone-L"	"Noise-Tone-H"
"Affect-61"	6	"Affect"	"Speed"	"Affect"	2	"Speed-SP2-H"	"Speed-SP2-L"	"Affect-PD-L"	"Affect-PD-H"
"Affect-61"	7	"Affect"	"Affect"	"Size"	2	"Affect-PD-H"	"Affect-PD-L"	"Size-Circles-L"	"Size-Circles-H"
"Affect-61"	8	"Affect"	"Affect"	"Noise"	1	"Affect-EB-H"	"Affect-EB-L"	"Noise-Tone-H"	"Noise-Tone-L"
"Affect-61"	9	"Affect"	"Affect"	"Size"	4	"Affect-SC-L"	"Affect-SC-H"	"Size-Circles-L"	"Size-Circles-H"
"Affect-61"	10	"Affect"	"Affect"	"Speed"	2	"Affect-PD-H"	"Affect-PD-L"	"Speed-SP2-L"	"Speed-SP2-H"
"Affect-61"	11	"Affect"	"Noise"	"Affect"	4	"Noise-Tone-L"	"Noise-Tone-H"	"Affect-SC-L"	"Affect-SC-H"
"Affect-61"	12	"Affect"	"Affect"	"Shape"	3	"Affect-HS-L"	"Affect-HS-H"	"Shape-BK2-H"	"Shape-BK2-L"
"Affect-61"	13	"Affect"	"Size"	"Affect"	4	"Size-Circles-L"	"Size-Circles-H"	"Affect-SC-L"	"Affect-SC-H"
"Affect-61"	14	"Affect"	"Shape"	"Affect"	3	"Shape-BK2-L"	"Shape-BK2-H"	"Affect-HS-H"	"Affect-HS-L"
"Affect-61"	15	"Affect"	"Color"	"Affect"	4	"Color-RY-L"	"Color-RY-H"	"Affect-SC-L"	"Affect-SC-H"
"Affect-61"	16	"Affect"	"Affect"	"Brightness"	3	"Affect-HS-L"	"Affect-HS-H"	"Brightness-Circles-H"	"Brightness-Circles-L"
"Affect-61"	17	"Affect"	"Affect"	"Shape"	1	"Affect-EB-H"	"Affect-EB-L"	"Shape-BK2-H"	"Shape-BK2-L"
"Affect-61"	18	"Affect"	"Affect"	"Shape"	4	"Affect-SC-L"	"Affect-SC-H"	"Shape-BK2-L"	"Shape-BK2-H"
"Affect-61"	19	"Affect"	"Color"	"Affect"	2	"Color-RY-H"	"Color-RY-L"	"Affect-PD-L"	"Affect-PD-H"
"Affect-61"	20	"Affect"	"Pitch"	"Affect"	3	"Pitch-Tone-L"	"Pitch-Tone-H"	"Affect-HS-H"	"Affect-HS-L"
"Affect-61"	21	"Affect"	"Affect"	"Speed"	3	"Affect-HS-L"	"Affect-HS-H"	"Speed-SP2-H"	"Speed-SP2-L"
"Affect-61"	22	"Affect"	"Amp"	"Affect"	2	"Amp-Hum-H"	"Amp-Hum-L"	"Affect-PD-L"	"Affect-PD-H"
"Affect-61"	23	"Affect"	"Affect"	"Noise"	2	"Affect-PD-H"	"Affect-PD-L"	"Noise-Tone-L"	"Noise-Tone-H"
"Affect-61"	24	"Affect"	"Speed"	"Affect"	1	"Speed-SP2-H"	"Speed-SP2-L"	"Affect-EB-H"	"Affect-EB-L"
"Affect-61"	25	"Affect"	"Brightness"	"Affect"	3	"Brightness-Circles-L"	"Brightness-Circles-H"	"Affect-HS-H"	"Affect-HS-L"
"Affect-61"	26	"Affect"	"Affect"	"Color"	2	"Affect-PD-H"	"Affect-PD-L"	"Color-RY-L"	"Color-RY-H"
"Affect-61"	27	"Affect"	"Affect"	"Brightness"	4	"Affect-SC-L"	"Affect-SC-H"	"Brightness-Circles-L"	"Brightness-Circles-H"
"Affect-61"	28	"Affect"	"Brightness"	"Affect"	2	"Brightness-Circles-H"	"Brightness-Circles-L"	"Affect-PD-L"	"Affect-PD-H"
"Affect-61"	29	"Affect"	"Brightness"	"Affect"	1	"Brightness-Circles-H"	"Brightness-Circles-L"	"Affect-EB-H"	"Affect-EB-L"
"Affect-61"	30	"Affect"	"Affect"	"Noise"	3	"Affect-HS-L"	"Affect-HS-H"	"Noise-Tone-H"	"Noise-Tone-L"
"Affect-61"	31	"Affect"	"Amp"	"Affect"	4	"Amp-Hum-L"	"Amp-Hum-H"	"Affect-SC-L"	"Affect-SC-H"
"Affect-61"	32	"Affect"	"Affect"	"Amp"	1	"Affect-EB-H"	"Affect-EB-L"	"Amp-Hum-H"	"Amp-Hum-L"
"Affect-61"	33	"Affect"	"Brightness"	"Affect"	4	"Brightness-Circles-L"	"Brightness-Circles-H"	"Affect-SC-L"	"Affect-SC-H"
"Affect-61"	34	"Affect"	"Affect"	"Speed"	4	"Affect-SC-L"	"Affect-SC-H"	"Speed-SP2-L"	"Speed-SP2-H"
"Affect-61"	35	"Affect"	"Pitch"	"Affect"	4	"Pitch-Tone-L"	"Pitch-Tone-H"	"Affect-SC-L"	"Affect-SC-H"
"Affect-61"	36	"Affect"	"Shape"	"Affect"	4	"Shape-BK2-L"	"Shape-BK2-H"	"Affect-SC-L"	"Affect-SC-H"
"Affect-61"	37	"Affect"	"Size"	"Affect"	3	"Size-Circles-L"	"Size-Circles-H"	"Affect-HS-H"	"Affect-HS-L"
"Affect-61"	38	"Affect"	"Affect"	"Amp"	4	"Affect-SC-L"	"Affect-SC-H"	"Amp-Hum-L"	"Amp-Hum-H"
"Affect-61"	39	"Affect"	"Noise"	"Affect"	3	"Noise-Tone-L"	"Noise-Tone-H"	"Affect-HS-H"	"Affect-HS-L"
"Affect-61"	40	"Affect"	"Speed"	"Affect"	4	"Speed-SP2-L"	"Speed-SP2-H"	"Affect-SC-L"	"Affect-SC-H"
"Affect-61"	41	"Affect"	"Affect"	"Brightness"	2	"Affect-PD-H"	"Affect-PD-L"	"Brightness-Circles-L"	"Brightness-Circles-H"
"Affect-61"	42	"Affect"	"Affect"	"Color"	4	"Affect-SC-L"	"Affect-SC-H"	"Color-RY-L"	"Color-RY-H"
"Affect-61"	43	"Affect"	"Affect"	"Size"	3	"Affect-HS-L"	"Affect-HS-H"	"Size-Circles-H"	"Size-Circles-L"
"Affect-61"	44	"Affect"	"Affect"	"Pitch"	4	"Affect-SC-L"	"Affect-SC-H"	"Pitch-Tone-L"	"Pitch-Tone-H"
"Affect-61"	45	"Affect"	"Affect"	"Size"	1	"Affect-EB-H"	"Affect-EB-L"	"Size-Circles-H"	"Size-Circles-L"
"Affect-61"	46	"Affect"	"Affect"	"Pitch"	1	"Affect-EB-H"	"Affect-EB-L"	"Pitch-Tone-H"	"Pitch-Tone-L"
"Affect-61"	47	"Affect"	"Affect"	"Amp"	3	"Affect-HS-L"	"Affect-HS-H"	"Amp-Hum-H"	"Amp-Hum-L"
"Affect-61"	48	"Affect"	"Affect"	"Color"	3	"Affect-HS-L"	"Affect-HS-H"	"Color-RY-H"	"Color-RY-L"
"Affect-61"	49	"Affect"	"Color"	"Affect"	3	"Color-RY-L"	"Color-RY-H"	"Affect-HS-H"	"Affect-HS-L"
"Affect-61"	50	"Affect"	"Amp"	"Affect"	1	"Amp-Hum-H"	"Amp-Hum-L"	"Affect-EB-H"	"Affect-EB-L"
"Affect-61"	51	"Affect"	"Size"	"Affect"	1	"Size-Circles-H"	"Size-Circles-L"	"Affect-EB-H"	"Affect-EB-L"
"Affect-61"	52	"Affect"	"Affect"	"Brightness"	1	"Affect-EB-H"	"Affect-EB-L"	"Brightness-Circles-H"	"Brightness-Circles-L"
"Affect-61"	53	"Affect"	"Affect"	"Pitch"	3	"Affect-HS-L"	"Affect-HS-H"	"Pitch-Tone-H"	"Pitch-Tone-L"
"Affect-61"	54	"Affect"	"Affect"	"Shape"	2	"Affect-PD-H"	"Affect-PD-L"	"Shape-BK2-L"	"Shape-BK2-H"
"Affect-61"	55	"Affect"	"Shape"	"Affect"	1	"Shape-BK2-H"	"Shape-BK2-L"	"Affect-EB-H"	"Affect-EB-L"
"Affect-61"	56	"Affect"	"Affect"	"Pitch"	2	"Affect-PD-H"	"Affect-PD-L"	"Pitch-Tone-L"	"Pitch-Tone-H"
"Affect-61"	57	"Affect"	"Shape"	"Affect"	2	"Shape-BK2-H"	"Shape-BK2-L"	"Affect-PD-L"	"Affect-PD-H"
"Affect-61"	58	"Affect"	"Color"	"Affect"	1	"Color-RY-H"	"Color-RY-L"	"Affect-EB-H"	"Affect-EB-L"
