"Id"	"TrialNum"	"Focal1"	"Inducer"	"Concurrent"	"TrialType"	"InducerL"	"InducerR"	"ConcurrentL"	"ConcurrentR"
"Affect-19"	1	"Affect"	"Color"	"Affect"	1	"Color-RB-H"	"Color-RB-L"	"Affect-HS-H"	"Affect-HS-L"
"Affect-19"	2	"Affect"	"Speed"	"Affect"	4	"Speed-SP2-L"	"Speed-SP2-H"	"Affect-PD-L"	"Affect-PD-H"
"Affect-19"	3	"Affect"	"Affect"	"Color"	4	"Affect-PD-L"	"Affect-PD-H"	"Color-RB-L"	"Color-RB-H"
"Affect-19"	4	"Affect"	"Affect"	"Pitch"	1	"Affect-HS-H"	"Affect-HS-L"	"Pitch-Hum-H"	"Pitch-Hum-L"
"Affect-19"	5	"Affect"	"Shape"	"Affect"	4	"Shape-BK1-L"	"Shape-BK1-H"	"Affect-PD-L"	"Affect-PD-H"
"Affect-19"	6	"Affect"	"Noise"	"Affect"	2	"Noise-Tone-H"	"Noise-Tone-L"	"Affect-EB-L"	"Affect-EB-H"
"Affect-19"	7	"Affect"	"Affect"	"Shape"	4	"Affect-PD-L"	"Affect-PD-H"	"Shape-BK1-L"	"Shape-BK1-H"
"Affect-19"	8	"Affect"	"Brightness"	"Affect"	4	"Brightness-Circles-L"	"Brightness-Circles-H"	"Affect-PD-L"	"Affect-PD-H"
"Affect-19"	9	"Affect"	"Pitch"	"Affect"	2	"Pitch-Hum-H"	"Pitch-Hum-L"	"Affect-EB-L"	"Affect-EB-H"
"Affect-19"	10	"Affect"	"Affect"	"Noise"	1	"Affect-HS-H"	"Affect-HS-L"	"Noise-Tone-H"	"Noise-Tone-L"
"Affect-19"	11	"Affect"	"Size"	"Affect"	2	"Size-Squares-H"	"Size-Squares-L"	"Affect-EB-L"	"Affect-EB-H"
"Affect-19"	12	"Affect"	"Affect"	"Amp"	1	"Affect-HS-H"	"Affect-HS-L"	"Amp-Tone-H"	"Amp-Tone-L"
"Affect-19"	13	"Affect"	"Speed"	"Affect"	2	"Speed-SP2-H"	"Speed-SP2-L"	"Affect-EB-L"	"Affect-EB-H"
"Affect-19"	14	"Affect"	"Affect"	"Noise"	2	"Affect-EB-H"	"Affect-EB-L"	"Noise-Tone-L"	"Noise-Tone-H"
"Affect-19"	15	"Affect"	"Amp"	"Affect"	1	"Amp-Tone-H"	"Amp-Tone-L"	"Affect-HS-H"	"Affect-HS-L"
"Affect-19"	16	"Affect"	"Affect"	"Color"	2	"Affect-EB-H"	"Affect-EB-L"	"Color-RB-L"	"Color-RB-H"
"Affect-19"	17	"Affect"	"Affect"	"Size"	2	"Affect-EB-H"	"Affect-EB-L"	"Size-Squares-L"	"Size-Squares-H"
"Affect-19"	18	"Affect"	"Pitch"	"Affect"	1	"Pitch-Hum-H"	"Pitch-Hum-L"	"Affect-HS-H"	"Affect-HS-L"
"Affect-19"	19	"Affect"	"Affect"	"Shape"	2	"Affect-EB-H"	"Affect-EB-L"	"Shape-BK1-L"	"Shape-BK1-H"
"Affect-19"	20	"Affect"	"Affect"	"Color"	3	"Affect-SC-L"	"Affect-SC-H"	"Color-RB-H"	"Color-RB-L"
"Affect-19"	21	"Affect"	"Affect"	"Pitch"	2	"Affect-EB-H"	"Affect-EB-L"	"Pitch-Hum-L"	"Pitch-Hum-H"
"Affect-19"	22	"Affect"	"Affect"	"Brightness"	1	"Affect-HS-H"	"Affect-HS-L"	"Brightness-Circles-H"	"Brightness-Circles-L"
"Affect-19"	23	"Affect"	"Affect"	"Speed"	2	"Affect-EB-H"	"Affect-EB-L"	"Speed-SP2-L"	"Speed-SP2-H"
"Affect-19"	24	"Affect"	"Affect"	"Brightness"	4	"Affect-PD-L"	"Affect-PD-H"	"Brightness-Circles-L"	"Brightness-Circles-H"
"Affect-19"	25	"Affect"	"Affect"	"Speed"	3	"Affect-SC-L"	"Affect-SC-H"	"Speed-SP2-H"	"Speed-SP2-L"
"Affect-19"	26	"Affect"	"Affect"	"Color"	1	"Affect-HS-H"	"Affect-HS-L"	"Color-RB-H"	"Color-RB-L"
