"Id"	"TrialNum"	"Focal1"	"Inducer"	"Concurrent"	"TrialType"	"InducerL"	"InducerR"	"ConcurrentL"	"ConcurrentR"
"Affect-87"	1	"Affect"	"Affect"	"Noise"	3	"Affect-PD-L"	"Affect-PD-H"	"Noise-Piano-H"	"Noise-Piano-L"
"Affect-87"	2	"Affect"	"Affect"	"Color"	1	"Affect-SC-H"	"Affect-SC-L"	"Color-RB-H"	"Color-RB-L"
"Affect-87"	3	"Affect"	"Affect"	"Size"	4	"Affect-EB-L"	"Affect-EB-H"	"Size-Triangles-L"	"Size-Triangles-H"
"Affect-87"	4	"Affect"	"Affect"	"Amp"	3	"Affect-PD-L"	"Affect-PD-H"	"Amp-Pulse-H"	"Amp-Pulse-L"
"Affect-87"	5	"Affect"	"Amp"	"Affect"	3	"Amp-Pulse-L"	"Amp-Pulse-H"	"Affect-PD-H"	"Affect-PD-L"
"Affect-87"	6	"Affect"	"Affect"	"Noise"	2	"Affect-HS-H"	"Affect-HS-L"	"Noise-Piano-L"	"Noise-Piano-H"
"Affect-87"	7	"Affect"	"Affect"	"Brightness"	3	"Affect-PD-L"	"Affect-PD-H"	"Brightness-Squares-H"	"Brightness-Squares-L"
"Affect-87"	8	"Affect"	"Pitch"	"Affect"	2	"Pitch-Pulse-H"	"Pitch-Pulse-L"	"Affect-HS-L"	"Affect-HS-H"
"Affect-87"	9	"Affect"	"Shape"	"Affect"	3	"Shape-BK3-L"	"Shape-BK3-H"	"Affect-PD-H"	"Affect-PD-L"
"Affect-87"	10	"Affect"	"Speed"	"Affect"	4	"Speed-SP3-L"	"Speed-SP3-H"	"Affect-EB-L"	"Affect-EB-H"
"Affect-87"	11	"Affect"	"Affect"	"Color"	2	"Affect-HS-H"	"Affect-HS-L"	"Color-RB-L"	"Color-RB-H"
"Affect-87"	12	"Affect"	"Affect"	"Size"	1	"Affect-SC-H"	"Affect-SC-L"	"Size-Triangles-H"	"Size-Triangles-L"
"Affect-87"	13	"Affect"	"Affect"	"Brightness"	4	"Affect-EB-L"	"Affect-EB-H"	"Brightness-Squares-L"	"Brightness-Squares-H"
"Affect-87"	14	"Affect"	"Affect"	"Amp"	4	"Affect-EB-L"	"Affect-EB-H"	"Amp-Pulse-L"	"Amp-Pulse-H"
"Affect-87"	15	"Affect"	"Shape"	"Affect"	1	"Shape-BK3-H"	"Shape-BK3-L"	"Affect-SC-H"	"Affect-SC-L"
"Affect-87"	16	"Affect"	"Affect"	"Speed"	3	"Affect-PD-L"	"Affect-PD-H"	"Speed-SP3-H"	"Speed-SP3-L"
"Affect-87"	17	"Affect"	"Brightness"	"Affect"	3	"Brightness-Squares-L"	"Brightness-Squares-H"	"Affect-PD-H"	"Affect-PD-L"
"Affect-87"	18	"Affect"	"Size"	"Affect"	1	"Size-Triangles-H"	"Size-Triangles-L"	"Affect-SC-H"	"Affect-SC-L"
"Affect-87"	19	"Affect"	"Noise"	"Affect"	1	"Noise-Piano-H"	"Noise-Piano-L"	"Affect-SC-H"	"Affect-SC-L"
"Affect-87"	20	"Affect"	"Affect"	"Shape"	1	"Affect-SC-H"	"Affect-SC-L"	"Shape-BK3-H"	"Shape-BK3-L"
"Affect-87"	21	"Affect"	"Affect"	"Shape"	2	"Affect-HS-H"	"Affect-HS-L"	"Shape-BK3-L"	"Shape-BK3-H"
"Affect-87"	22	"Affect"	"Affect"	"Pitch"	2	"Affect-HS-H"	"Affect-HS-L"	"Pitch-Pulse-L"	"Pitch-Pulse-H"
"Affect-87"	23	"Affect"	"Affect"	"Shape"	3	"Affect-PD-L"	"Affect-PD-H"	"Shape-BK3-H"	"Shape-BK3-L"
"Affect-87"	24	"Affect"	"Affect"	"Brightness"	2	"Affect-HS-H"	"Affect-HS-L"	"Brightness-Squares-L"	"Brightness-Squares-H"
"Affect-87"	25	"Affect"	"Color"	"Affect"	4	"Color-RB-L"	"Color-RB-H"	"Affect-EB-L"	"Affect-EB-H"
"Affect-87"	26	"Affect"	"Pitch"	"Affect"	3	"Pitch-Pulse-L"	"Pitch-Pulse-H"	"Affect-PD-H"	"Affect-PD-L"
"Affect-87"	27	"Affect"	"Speed"	"Affect"	2	"Speed-SP3-H"	"Speed-SP3-L"	"Affect-HS-L"	"Affect-HS-H"
"Affect-87"	28	"Affect"	"Pitch"	"Affect"	1	"Pitch-Pulse-H"	"Pitch-Pulse-L"	"Affect-SC-H"	"Affect-SC-L"
"Affect-87"	29	"Affect"	"Noise"	"Affect"	3	"Noise-Piano-L"	"Noise-Piano-H"	"Affect-PD-H"	"Affect-PD-L"
"Affect-87"	30	"Affect"	"Amp"	"Affect"	4	"Amp-Pulse-L"	"Amp-Pulse-H"	"Affect-EB-L"	"Affect-EB-H"
"Affect-87"	31	"Affect"	"Affect"	"Amp"	2	"Affect-HS-H"	"Affect-HS-L"	"Amp-Pulse-L"	"Amp-Pulse-H"
"Affect-87"	32	"Affect"	"Affect"	"Speed"	2	"Affect-HS-H"	"Affect-HS-L"	"Speed-SP3-L"	"Speed-SP3-H"
"Affect-87"	33	"Affect"	"Affect"	"Speed"	4	"Affect-EB-L"	"Affect-EB-H"	"Speed-SP3-L"	"Speed-SP3-H"
"Affect-87"	34	"Affect"	"Affect"	"Pitch"	4	"Affect-EB-L"	"Affect-EB-H"	"Pitch-Pulse-L"	"Pitch-Pulse-H"
"Affect-87"	35	"Affect"	"Affect"	"Speed"	1	"Affect-SC-H"	"Affect-SC-L"	"Speed-SP3-H"	"Speed-SP3-L"
"Affect-87"	36	"Affect"	"Amp"	"Affect"	2	"Amp-Pulse-H"	"Amp-Pulse-L"	"Affect-HS-L"	"Affect-HS-H"
"Affect-87"	37	"Affect"	"Affect"	"Color"	4	"Affect-EB-L"	"Affect-EB-H"	"Color-RB-L"	"Color-RB-H"
"Affect-87"	38	"Affect"	"Affect"	"Pitch"	1	"Affect-SC-H"	"Affect-SC-L"	"Pitch-Pulse-H"	"Pitch-Pulse-L"
"Affect-87"	39	"Affect"	"Affect"	"Size"	3	"Affect-PD-L"	"Affect-PD-H"	"Size-Triangles-H"	"Size-Triangles-L"
"Affect-87"	40	"Affect"	"Amp"	"Affect"	1	"Amp-Pulse-H"	"Amp-Pulse-L"	"Affect-SC-H"	"Affect-SC-L"
"Affect-87"	41	"Affect"	"Affect"	"Brightness"	1	"Affect-SC-H"	"Affect-SC-L"	"Brightness-Squares-H"	"Brightness-Squares-L"
"Affect-87"	42	"Affect"	"Affect"	"Shape"	4	"Affect-EB-L"	"Affect-EB-H"	"Shape-BK3-L"	"Shape-BK3-H"
"Affect-87"	43	"Affect"	"Speed"	"Affect"	3	"Speed-SP3-L"	"Speed-SP3-H"	"Affect-PD-H"	"Affect-PD-L"
"Affect-87"	44	"Affect"	"Size"	"Affect"	2	"Size-Triangles-H"	"Size-Triangles-L"	"Affect-HS-L"	"Affect-HS-H"
"Affect-87"	45	"Affect"	"Affect"	"Color"	3	"Affect-PD-L"	"Affect-PD-H"	"Color-RB-H"	"Color-RB-L"
"Affect-87"	46	"Affect"	"Affect"	"Size"	2	"Affect-HS-H"	"Affect-HS-L"	"Size-Triangles-L"	"Size-Triangles-H"
"Affect-87"	47	"Affect"	"Brightness"	"Affect"	4	"Brightness-Squares-L"	"Brightness-Squares-H"	"Affect-EB-L"	"Affect-EB-H"
"Affect-87"	48	"Affect"	"Size"	"Affect"	3	"Size-Triangles-L"	"Size-Triangles-H"	"Affect-PD-H"	"Affect-PD-L"
"Affect-87"	49	"Affect"	"Affect"	"Pitch"	3	"Affect-PD-L"	"Affect-PD-H"	"Pitch-Pulse-H"	"Pitch-Pulse-L"
"Affect-87"	50	"Affect"	"Brightness"	"Affect"	1	"Brightness-Squares-H"	"Brightness-Squares-L"	"Affect-SC-H"	"Affect-SC-L"
"Affect-87"	51	"Affect"	"Pitch"	"Affect"	4	"Pitch-Pulse-L"	"Pitch-Pulse-H"	"Affect-EB-L"	"Affect-EB-H"
"Affect-87"	52	"Affect"	"Size"	"Affect"	4	"Size-Triangles-L"	"Size-Triangles-H"	"Affect-EB-L"	"Affect-EB-H"
"Affect-87"	53	"Affect"	"Affect"	"Noise"	1	"Affect-SC-H"	"Affect-SC-L"	"Noise-Piano-H"	"Noise-Piano-L"
"Affect-87"	54	"Affect"	"Brightness"	"Affect"	2	"Brightness-Squares-H"	"Brightness-Squares-L"	"Affect-HS-L"	"Affect-HS-H"
"Affect-87"	55	"Affect"	"Noise"	"Affect"	4	"Noise-Piano-L"	"Noise-Piano-H"	"Affect-EB-L"	"Affect-EB-H"
"Affect-87"	56	"Affect"	"Shape"	"Affect"	4	"Shape-BK3-L"	"Shape-BK3-H"	"Affect-EB-L"	"Affect-EB-H"
"Affect-87"	57	"Affect"	"Affect"	"Noise"	4	"Affect-EB-L"	"Affect-EB-H"	"Noise-Piano-L"	"Noise-Piano-H"
"Affect-87"	58	"Affect"	"Shape"	"Affect"	2	"Shape-BK3-H"	"Shape-BK3-L"	"Affect-HS-L"	"Affect-HS-H"
"Affect-87"	59	"Affect"	"Noise"	"Affect"	2	"Noise-Piano-H"	"Noise-Piano-L"	"Affect-HS-L"	"Affect-HS-H"
"Affect-87"	60	"Affect"	"Color"	"Affect"	1	"Color-RB-H"	"Color-RB-L"	"Affect-SC-H"	"Affect-SC-L"
"Affect-87"	61	"Affect"	"Color"	"Affect"	2	"Color-RB-H"	"Color-RB-L"	"Affect-HS-L"	"Affect-HS-H"
"Affect-87"	62	"Affect"	"Color"	"Affect"	3	"Color-RB-L"	"Color-RB-H"	"Affect-PD-H"	"Affect-PD-L"
"Affect-87"	63	"Affect"	"Speed"	"Affect"	1	"Speed-SP3-H"	"Speed-SP3-L"	"Affect-SC-H"	"Affect-SC-L"
"Affect-87"	64	"Affect"	"Affect"	"Amp"	1	"Affect-SC-H"	"Affect-SC-L"	"Amp-Pulse-H"	"Amp-Pulse-L"
