"Id"	"TrialNum"	"Focal1"	"Focal2"	"Focal3"	"Inducer"	"Concurrent"	"InducerL"	"InducerR"	"ConcurrentL"	"ConcurrentR"
"Pitch-Size-Color-5"	1	"Pitch"	"Size"	"Color"	"Pitch"	"Color"	"Pitch-Pulse-L"	"Pitch-Pulse-H"	"Color-YB-H"	"Color-YB-L"
"Pitch-Size-Color-5"	2	"Pitch"	"Size"	"Color"	"Affect"	"Color"	"Affect-SC-H"	"Affect-SC-L"	"Color-YB-L"	"Color-YB-H"
"Pitch-Size-Color-5"	3	"Pitch"	"Size"	"Color"	"Pitch"	"Affect"	"Pitch-Tone-H"	"Pitch-Tone-L"	"Affect-SC-L"	"Affect-SC-H"
"Pitch-Size-Color-5"	4	"Pitch"	"Size"	"Color"	"Amp"	"Pitch"	"Amp-Tone-H"	"Amp-Tone-L"	"Pitch-Pulse-H"	"Pitch-Pulse-L"
"Pitch-Size-Color-5"	5	"Pitch"	"Size"	"Color"	"Color"	"Speed"	"Color-RY-L"	"Color-RY-H"	"Speed-SP3-L"	"Speed-SP3-H"
"Pitch-Size-Color-5"	6	"Pitch"	"Size"	"Color"	"Color"	"Affect"	"Color-RG-L"	"Color-RG-H"	"Affect-SC-L"	"Affect-SC-H"
"Pitch-Size-Color-5"	7	"Pitch"	"Size"	"Color"	"Size"	"Pitch"	"Size-Squares-H"	"Size-Squares-L"	"Pitch-Pulse-H"	"Pitch-Pulse-L"
"Pitch-Size-Color-5"	8	"Pitch"	"Size"	"Color"	"Brightness"	"Pitch"	"Brightness-Squares-H"	"Brightness-Squares-L"	"Pitch-Pulse-H"	"Pitch-Pulse-L"
"Pitch-Size-Color-5"	9	"Pitch"	"Size"	"Color"	"Size"	"Amp"	"Size-Squares-L"	"Size-Squares-H"	"Amp-Tone-H"	"Amp-Tone-L"
"Pitch-Size-Color-5"	10	"Pitch"	"Size"	"Color"	"Pitch"	"Color"	"Pitch-Piano-L"	"Pitch-Piano-H"	"Color-YB-H"	"Color-YB-L"
"Pitch-Size-Color-5"	11	"Pitch"	"Size"	"Color"	"Affect"	"Pitch"	"Affect-SC-H"	"Affect-SC-L"	"Pitch-Pulse-L"	"Pitch-Pulse-H"
"Pitch-Size-Color-5"	12	"Pitch"	"Size"	"Color"	"Affect"	"Size"	"Affect-SC-L"	"Affect-SC-H"	"Size-Diamonds-L"	"Size-Diamonds-H"
"Pitch-Size-Color-5"	13	"Pitch"	"Size"	"Color"	"Amp"	"Color"	"Amp-Tone-L"	"Amp-Tone-H"	"Color-RB-H"	"Color-RB-L"
"Pitch-Size-Color-5"	14	"Pitch"	"Size"	"Color"	"Noise"	"Pitch"	"Noise-Hum-L"	"Noise-Hum-H"	"Pitch-Pulse-L"	"Pitch-Pulse-H"
"Pitch-Size-Color-5"	15	"Pitch"	"Size"	"Color"	"Noise"	"Size"	"Noise-Hum-L"	"Noise-Hum-H"	"Size-Diamonds-H"	"Size-Diamonds-L"
"Pitch-Size-Color-5"	16	"Pitch"	"Size"	"Color"	"Size"	"Amp"	"Size-Triangles-H"	"Size-Triangles-L"	"Amp-Tone-L"	"Amp-Tone-H"
"Pitch-Size-Color-5"	17	"Pitch"	"Size"	"Color"	"Color"	"Brightness"	"Color-RY-H"	"Color-RY-L"	"Brightness-Squares-L"	"Brightness-Squares-H"
"Pitch-Size-Color-5"	18	"Pitch"	"Size"	"Color"	"Brightness"	"Color"	"Brightness-Squares-H"	"Brightness-Squares-L"	"Color-RB-H"	"Color-RB-L"
"Pitch-Size-Color-5"	19	"Pitch"	"Size"	"Color"	"Size"	"Pitch"	"Size-Diamonds-H"	"Size-Diamonds-L"	"Pitch-Pulse-L"	"Pitch-Pulse-H"
"Pitch-Size-Color-5"	20	"Pitch"	"Size"	"Color"	"Pitch"	"Amp"	"Pitch-Tone-L"	"Pitch-Tone-H"	"Amp-Tone-L"	"Amp-Tone-H"
"Pitch-Size-Color-5"	21	"Pitch"	"Size"	"Color"	"Pitch"	"Shape"	"Pitch-Piano-H"	"Pitch-Piano-L"	"Shape-BK2-H"	"Shape-BK2-L"
"Pitch-Size-Color-5"	22	"Pitch"	"Size"	"Color"	"Size"	"Brightness"	"Size-Squares-H"	"Size-Squares-L"	"Brightness-Squares-L"	"Brightness-Squares-H"
"Pitch-Size-Color-5"	23	"Pitch"	"Size"	"Color"	"Color"	"Pitch"	"Color-YB-L"	"Color-YB-H"	"Pitch-Hum-H"	"Pitch-Hum-L"
"Pitch-Size-Color-5"	24	"Pitch"	"Size"	"Color"	"Size"	"Color"	"Size-Diamonds-L"	"Size-Diamonds-H"	"Color-RB-L"	"Color-RB-H"
"Pitch-Size-Color-5"	25	"Pitch"	"Size"	"Color"	"Affect"	"Color"	"Affect-SC-L"	"Affect-SC-H"	"Color-RB-H"	"Color-RB-L"
"Pitch-Size-Color-5"	26	"Pitch"	"Size"	"Color"	"Speed"	"Pitch"	"Speed-SP3-H"	"Speed-SP3-L"	"Pitch-Pulse-H"	"Pitch-Pulse-L"
"Pitch-Size-Color-5"	27	"Pitch"	"Size"	"Color"	"Shape"	"Size"	"Shape-BK2-H"	"Shape-BK2-L"	"Size-Diamonds-L"	"Size-Diamonds-H"
"Pitch-Size-Color-5"	28	"Pitch"	"Size"	"Color"	"Color"	"Shape"	"Color-RG-L"	"Color-RG-H"	"Shape-BK2-L"	"Shape-BK2-H"
"Pitch-Size-Color-5"	29	"Pitch"	"Size"	"Color"	"Affect"	"Size"	"Affect-SC-L"	"Affect-SC-H"	"Size-Circles-H"	"Size-Circles-L"
"Pitch-Size-Color-5"	30	"Pitch"	"Size"	"Color"	"Shape"	"Color"	"Shape-BK2-L"	"Shape-BK2-H"	"Color-YB-L"	"Color-YB-H"
"Pitch-Size-Color-5"	31	"Pitch"	"Size"	"Color"	"Pitch"	"Amp"	"Pitch-Piano-H"	"Pitch-Piano-L"	"Amp-Tone-L"	"Amp-Tone-H"
"Pitch-Size-Color-5"	32	"Pitch"	"Size"	"Color"	"Shape"	"Color"	"Shape-BK2-H"	"Shape-BK2-L"	"Color-RB-H"	"Color-RB-L"
"Pitch-Size-Color-5"	33	"Pitch"	"Size"	"Color"	"Pitch"	"Brightness"	"Pitch-Piano-H"	"Pitch-Piano-L"	"Brightness-Squares-H"	"Brightness-Squares-L"
"Pitch-Size-Color-5"	34	"Pitch"	"Size"	"Color"	"Shape"	"Pitch"	"Shape-BK2-L"	"Shape-BK2-H"	"Pitch-Pulse-H"	"Pitch-Pulse-L"
"Pitch-Size-Color-5"	35	"Pitch"	"Size"	"Color"	"Brightness"	"Pitch"	"Brightness-Squares-H"	"Brightness-Squares-L"	"Pitch-Hum-L"	"Pitch-Hum-H"
"Pitch-Size-Color-5"	36	"Pitch"	"Size"	"Color"	"Noise"	"Pitch"	"Noise-Hum-H"	"Noise-Hum-L"	"Pitch-Hum-H"	"Pitch-Hum-L"
"Pitch-Size-Color-5"	37	"Pitch"	"Size"	"Color"	"Size"	"Shape"	"Size-Triangles-H"	"Size-Triangles-L"	"Shape-BK2-L"	"Shape-BK2-H"
"Pitch-Size-Color-5"	38	"Pitch"	"Size"	"Color"	"Size"	"Affect"	"Size-Squares-L"	"Size-Squares-H"	"Affect-SC-L"	"Affect-SC-H"
"Pitch-Size-Color-5"	39	"Pitch"	"Size"	"Color"	"Pitch"	"Speed"	"Pitch-Tone-L"	"Pitch-Tone-H"	"Speed-SP3-L"	"Speed-SP3-H"
