,trialNum,rt,subject,condition,InducerL,InducerR,ConcurrentL,ConcurrentR,choice
0,1.0,3862.0,09NhHdFy31,Color-33,Shape-BK3-L,Shape-BK3-H,Color-RY-L,Color-RY-H,1
1,2.0,5850.0,09NhHdFy31,Color-33,Color-YB-L,Color-YB-H,Amp-Piano-H,Amp-Piano-L,0
2,3.0,7082.0,09NhHdFy31,Color-33,Speed-SP2-L,Speed-SP2-H,Color-YB-H,Color-YB-L,0
3,4.0,13475.0,09NhHdFy31,Color-33,Shape-BK3-L,Shape-BK3-H,Color-YB-H,Color-YB-L,0
4,5.0,4812.0,09NhHdFy31,Color-33,Color-YB-L,Color-YB-H,Pitch-Tone-H,Pitch-Tone-L,0
5,6.0,2751.0,09NhHdFy31,Color-33,Color-RY-L,Color-RY-H,Shape-BK3-L,Shape-BK3-H,0
6,7.0,5446.0,09NhHdFy31,Color-33,Color-RB-H,Color-RB-L,Noise-Hum-H,Noise-Hum-L,1
7,8.0,3478.0,09NhHdFy31,Color-33,Color-RB-H,Color-RB-L,Amp-Piano-H,Amp-Piano-L,1
8,9.0,4590.0,09NhHdFy31,Color-33,Pitch-Tone-L,Pitch-Tone-H,Color-RY-L,Color-RY-H,0
9,10.0,1979.0,09NhHdFy31,Color-33,Color-RG-H,Color-RG-L,Shape-BK3-L,Shape-BK3-H,0
10,11.0,4879.0,09NhHdFy31,Color-33,Noise-Hum-L,Noise-Hum-H,Color-YB-H,Color-YB-L,0
11,12.0,8262.0,09NhHdFy31,Color-33,Color-YB-L,Color-YB-H,Shape-BK3-H,Shape-BK3-L,1
12,13.0,24292.0,09NhHdFy31,Color-33,Color-RG-H,Color-RG-L,Affect-SC-L,Affect-SC-H,1
13,14.0,1705.0,09NhHdFy31,Color-33,Shape-BK3-H,Shape-BK3-L,Color-RB-H,Color-RB-L,0
14,15.0,3796.0,09NhHdFy31,Color-33,Noise-Hum-H,Noise-Hum-L,Color-RB-H,Color-RB-L,1
15,16.0,2917.0,09NhHdFy31,Color-33,Color-YB-L,Color-YB-H,Affect-SC-H,Affect-SC-L,0
16,17.0,3238.0,09NhHdFy31,Color-33,Pitch-Tone-L,Pitch-Tone-H,Color-YB-H,Color-YB-L,0
17,18.0,4164.0,09NhHdFy31,Color-33,Color-RB-H,Color-RB-L,Affect-SC-H,Affect-SC-L,1
18,19.0,2198.0,09NhHdFy31,Color-33,Color-RY-L,Color-RY-H,Speed-SP2-L,Speed-SP2-H,0
19,20.0,1304.0,09NhHdFy31,Color-33,Shape-BK3-H,Shape-BK3-L,Color-RG-L,Color-RG-H,1
20,21.0,2770.0,09NhHdFy31,Color-33,Color-RB-H,Color-RB-L,Pitch-Tone-H,Pitch-Tone-L,0
21,22.0,1714.0,09NhHdFy31,Color-33,Size-Circles-H,Size-Circles-L,Color-RG-L,Color-RG-H,1
22,23.0,1360.0,09NhHdFy31,Color-33,Affect-SC-H,Affect-SC-L,Color-RB-H,Color-RB-L,0
23,24.0,1691.0,09NhHdFy31,Color-33,Color-RG-H,Color-RG-L,Brightness-Squares-L,Brightness-Squares-H,1
24,25.0,1666.0,09NhHdFy31,Color-33,Speed-SP2-H,Speed-SP2-L,Color-RG-L,Color-RG-H,0
25,26.0,1381.0,09NhHdFy31,Color-33,Color-RG-H,Color-RG-L,Speed-SP2-L,Speed-SP2-H,1
26,27.0,2870.0,09NhHdFy31,Color-33,Color-RG-H,Color-RG-L,Pitch-Tone-L,Pitch-Tone-H,1
27,28.0,1638.0,09NhHdFy31,Color-33,Size-Circles-L,Size-Circles-H,Color-YB-H,Color-YB-L,0
28,29.0,1230.0,09NhHdFy31,Color-33,Brightness-Squares-L,Brightness-Squares-H,Color-YB-H,Color-YB-L,1
29,30.0,1519.0,09NhHdFy31,Color-33,Affect-SC-L,Affect-SC-H,Color-RY-L,Color-RY-H,0
30,31.0,1185.0,09NhHdFy31,Color-33,Color-RY-L,Color-RY-H,Brightness-Squares-L,Brightness-Squares-H,0
31,32.0,3654.0,09NhHdFy31,Color-33,Pitch-Tone-H,Pitch-Tone-L,Color-RG-L,Color-RG-H,1
32,33.0,1503.0,09NhHdFy31,Color-33,Brightness-Squares-H,Brightness-Squares-L,Color-RB-H,Color-RB-L,0
33,34.0,1297.0,09NhHdFy31,Color-33,Speed-SP2-H,Speed-SP2-L,Color-RB-H,Color-RB-L,1
34,35.0,1050.0,09NhHdFy31,Color-33,Color-RB-H,Color-RB-L,Speed-SP2-H,Speed-SP2-L,0
35,36.0,32353.0,09NhHdFy31,Color-33,Noise-Hum-L,Noise-Hum-H,Color-RY-L,Color-RY-H,0
36,37.0,2194.0,09NhHdFy31,Color-33,Affect-SC-L,Affect-SC-H,Color-YB-H,Color-YB-L,0
37,38.0,4457.0,09NhHdFy31,Color-33,Pitch-Tone-H,Pitch-Tone-L,Color-RB-H,Color-RB-L,1
38,39.0,1450.0,09NhHdFy31,Color-33,Size-Circles-L,Size-Circles-H,Color-RY-L,Color-RY-H,0
39,40.0,1288.0,09NhHdFy31,Color-33,Brightness-Squares-H,Brightness-Squares-L,Color-RG-L,Color-RG-H,1
40,41.0,1502.0,09NhHdFy31,Color-33,Color-RB-H,Color-RB-L,Size-Circles-H,Size-Circles-L,0
41,42.0,5825.0,09NhHdFy31,Color-33,Amp-Piano-H,Amp-Piano-L,Color-RG-L,Color-RG-H,1
42,43.0,3150.0,09NhHdFy31,Color-33,Amp-Piano-L,Amp-Piano-H,Color-YB-H,Color-YB-L,0
43,44.0,3822.0,09NhHdFy31,Color-33,Speed-SP2-L,Speed-SP2-H,Color-RY-L,Color-RY-H,0
44,45.0,1505.0,09NhHdFy31,Color-33,Color-RG-H,Color-RG-L,Size-Circles-L,Size-Circles-H,1
45,46.0,7048.0,09NhHdFy31,Color-33,Color-RY-L,Color-RY-H,Amp-Piano-L,Amp-Piano-H,0
46,47.0,1633.0,09NhHdFy31,Color-33,Brightness-Squares-L,Brightness-Squares-H,Color-RY-L,Color-RY-H,1
47,48.0,2819.0,09NhHdFy31,Color-33,Color-RY-L,Color-RY-H,Affect-SC-L,Affect-SC-H,0
48,49.0,1506.0,09NhHdFy31,Color-33,Color-RY-L,Color-RY-H,Size-Circles-L,Size-Circles-H,0
49,50.0,3349.0,09NhHdFy31,Color-33,Color-RY-L,Color-RY-H,Pitch-Tone-L,Pitch-Tone-H,0
50,51.0,1369.0,09NhHdFy31,Color-33,Size-Circles-H,Size-Circles-L,Color-RB-H,Color-RB-L,1
51,52.0,5303.0,09NhHdFy31,Color-33,Color-RY-L,Color-RY-H,Noise-Hum-L,Noise-Hum-H,0
52,53.0,3437.0,09NhHdFy31,Color-33,Noise-Hum-H,Noise-Hum-L,Color-RG-L,Color-RG-H,1
53,54.0,1451.0,09NhHdFy31,Color-33,Color-RB-H,Color-RB-L,Shape-BK3-H,Shape-BK3-L,0
54,55.0,1247.0,09NhHdFy31,Color-33,Color-RB-H,Color-RB-L,Brightness-Squares-H,Brightness-Squares-L,1
55,56.0,3903.0,09NhHdFy31,Color-33,Amp-Piano-H,Amp-Piano-L,Color-RB-H,Color-RB-L,0
56,57.0,3246.0,09NhHdFy31,Color-33,Color-YB-L,Color-YB-H,Noise-Hum-H,Noise-Hum-L,0
57,58.0,2044.0,09NhHdFy31,Color-33,Color-YB-L,Color-YB-H,Brightness-Squares-H,Brightness-Squares-L,0
58,59.0,2575.0,09NhHdFy31,Color-33,Color-YB-L,Color-YB-H,Speed-SP2-H,Speed-SP2-L,0
59,60.0,2854.0,09NhHdFy31,Color-33,Color-YB-L,Color-YB-H,Size-Circles-H,Size-Circles-L,0
60,61.0,4017.0,09NhHdFy31,Color-33,Amp-Piano-L,Amp-Piano-H,Color-RY-L,Color-RY-H,0
61,62.0,3534.0,09NhHdFy31,Color-33,Color-RG-H,Color-RG-L,Noise-Hum-L,Noise-Hum-H,1
62,63.0,4191.0,09NhHdFy31,Color-33,Affect-SC-H,Affect-SC-L,Color-RG-L,Color-RG-H,1
63,64.0,3045.0,09NhHdFy31,Color-33,Color-RG-H,Color-RG-L,Amp-Piano-L,Amp-Piano-H,1
0,1.0,8782.0,0ITFbU0J3v,Color-29,Pitch-Piano-H,Pitch-Piano-L,Color-YB-H,Color-YB-L,0
1,2.0,6892.0,0ITFbU0J3v,Color-29,Affect-PD-L,Affect-PD-H,Color-RB-L,Color-RB-H,0
2,3.0,4366.0,0ITFbU0J3v,Color-29,Speed-SP3-H,Speed-SP3-L,Color-YB-H,Color-YB-L,0
3,4.0,10308.0,0ITFbU0J3v,Color-29,Pitch-Piano-L,Pitch-Piano-H,Color-RG-H,Color-RG-L,1
4,5.0,4244.0,0ITFbU0J3v,Color-29,Color-RY-H,Color-RY-L,Brightness-Circles-L,Brightness-Circles-H,0
5,6.0,6117.0,0ITFbU0J3v,Color-29,Color-YB-H,Color-YB-L,Pitch-Piano-H,Pitch-Piano-L,1
6,7.0,5846.0,0ITFbU0J3v,Color-29,Size-Squares-L,Size-Squares-H,Color-RG-H,Color-RG-L,1
7,8.0,3564.0,0ITFbU0J3v,Color-29,Color-YB-H,Color-YB-L,Speed-SP3-H,Speed-SP3-L,0
8,9.0,3526.0,0ITFbU0J3v,Color-29,Color-RG-L,Color-RG-H,Shape-BK4-H,Shape-BK4-L,1
9,10.0,4261.0,0ITFbU0J3v,Color-29,Speed-SP3-L,Speed-SP3-H,Color-RG-H,Color-RG-L,0
10,11.0,5717.0,0ITFbU0J3v,Color-29,Color-YB-H,Color-YB-L,Amp-Hum-H,Amp-Hum-L,1
11,12.0,4229.0,0ITFbU0J3v,Color-29,Shape-BK4-H,Shape-BK4-L,Color-RY-L,Color-RY-H,1
12,13.0,5659.0,0ITFbU0J3v,Color-29,Noise-Tone-L,Noise-Tone-H,Color-RG-H,Color-RG-L,1
13,14.0,6188.0,0ITFbU0J3v,Color-29,Color-YB-H,Color-YB-L,Noise-Tone-H,Noise-Tone-L,1
14,15.0,3804.0,0ITFbU0J3v,Color-29,Color-RB-L,Color-RB-H,Noise-Tone-L,Noise-Tone-H,0
15,16.0,4101.0,0ITFbU0J3v,Color-29,Speed-SP3-L,Speed-SP3-H,Color-RB-L,Color-RB-H,0
16,17.0,7869.0,0ITFbU0J3v,Color-29,Affect-PD-L,Affect-PD-H,Color-RG-H,Color-RG-L,0
17,18.0,5252.0,0ITFbU0J3v,Color-29,Noise-Tone-L,Noise-Tone-H,Color-RB-L,Color-RB-H,0
18,19.0,8716.0,0ITFbU0J3v,Color-29,Color-RG-L,Color-RG-H,Noise-Tone-H,Noise-Tone-L,1
19,20.0,4660.0,0ITFbU0J3v,Color-29,Size-Squares-L,Size-Squares-H,Color-RB-L,Color-RB-H,1
20,21.0,3390.0,0ITFbU0J3v,Color-29,Speed-SP3-H,Speed-SP3-L,Color-RY-L,Color-RY-H,0
21,22.0,4244.0,0ITFbU0J3v,Color-29,Color-RB-L,Color-RB-H,Amp-Hum-L,Amp-Hum-H,1
22,23.0,7500.0,0ITFbU0J3v,Color-29,Amp-Hum-H,Amp-Hum-L,Color-RY-L,Color-RY-H,1
