"","Inducer","Concurrent","r"
"1","Affect","Amp",0.670103092783505
"2","Affect","Brightness",0.755102040816326
"3","Affect","Color",-0.0204081632653061
"4","Affect","Noise",-0.375
"5","Affect","Pitch",-0.0102040816326531
"6","Affect","Shape",0.15625
"7","Affect","Size",0.628865979381443
"8","Affect","Speed",0.736842105263158
"9","Amp","Affect",0.721649484536082
"10","Amp","Brightness",0.701030927835051
"11","Amp","Color",0.484536082474227
"12","Amp","Noise",-0.147368421052632
"13","Amp","Pitch",-0.381443298969072
"14","Amp","Shape",0.652631578947368
"15","Amp","Size",0.78125
"16","Amp","Speed",0.851063829787234
"17","Brightness","Affect",0.714285714285714
"18","Brightness","Amp",0.639175257731959
"19","Brightness","Color",-0.0510204081632653
"20","Brightness","Noise",-0.489583333333333
"21","Brightness","Pitch",0.0510204081632653
"22","Brightness","Shape",0.0729166666666667
"23","Brightness","Size",0.329896907216495
"24","Brightness","Speed",0.778947368421053
"25","Color","Affect",0.0306122448979592
"26","Color","Amp",0.505154639175258
"27","Color","Brightness",-0.0612244897959184
"28","Color","Noise",0.145833333333333
"29","Color","Pitch",-0.122448979591837
"30","Color","Shape",0.333333333333333
"31","Color","Size",0.22680412371134
"32","Color","Speed",0.357894736842105
"33","Noise","Affect",-0.479166666666667
"34","Noise","Amp",-0.0947368421052632
"35","Noise","Brightness",-0.541666666666667
"36","Noise","Color",0.270833333333333
"37","Noise","Pitch",0.0416666666666667
"38","Noise","Shape",0.468085106382979
"39","Noise","Size",0.0421052631578947
"40","Noise","Speed",0.258064516129032
"41","Pitch","Affect",-0.0204081632653061
"42","Pitch","Amp",-0.309278350515464
"43","Pitch","Brightness",0.0408163265306122
"44","Pitch","Color",-0.0204081632653061
"45","Pitch","Noise",0.145833333333333
"46","Pitch","Shape",0.239583333333333
"47","Pitch","Size",-0.556701030927835
"48","Pitch","Speed",0.147368421052632
"49","Shape","Affect",0.0208333333333333
"50","Shape","Amp",0.631578947368421
"51","Shape","Brightness",0.135416666666667
"52","Shape","Color",0.364583333333333
"53","Shape","Noise",0.382978723404255
"54","Shape","Pitch",0.135416666666667
"55","Shape","Size",0.0842105263157895
"56","Shape","Speed",0.741935483870968
"57","Size","Affect",0.536082474226804
"58","Size","Amp",0.770833333333333
"59","Size","Brightness",0.319587628865979
"60","Size","Color",0.0618556701030928
"61","Size","Noise",0.0842105263157895
"62","Size","Pitch",-0.515463917525773
"63","Size","Shape",0.0842105263157895
"64","Size","Speed",-0.223404255319149
"65","Speed","Affect",0.726315789473684
"66","Speed","Amp",0.819148936170213
"67","Speed","Brightness",0.768421052631579
"68","Speed","Color",0.28421052631579
"69","Speed","Noise",0.172043010752688
"70","Speed","Pitch",0.178947368421053
"71","Speed","Shape",0.698924731182796
"72","Speed","Size",-0.265957446808511
