,trialNum,rt,subject,condition,InducerL,InducerR,ConcurrentL,ConcurrentR,choice
24,25.0,5033.0,0BwAB3cQny,Noise-Shape-Speed-10,Size-Triangles-L,Size-Triangles-H,Noise-Piano-H,Noise-Piano-L,0
25,26.0,5652.0,0BwAB3cQny,Noise-Shape-Speed-10,Noise-Hum-L,Noise-Hum-H,Affect-EB-L,Affect-EB-H,1
26,27.0,4996.0,0BwAB3cQny,Noise-Shape-Speed-10,Speed-SP4-L,Speed-SP4-H,Shape-BK3-H,Shape-BK3-L,1
27,28.0,4306.0,0BwAB3cQny,Noise-Shape-Speed-10,Affect-EB-H,Affect-EB-L,Speed-SP2-H,Speed-SP2-L,0
28,29.0,6073.0,0BwAB3cQny,Noise-Shape-Speed-10,Size-Triangles-L,Size-Triangles-H,Speed-SP2-L,Speed-SP2-H,1
29,30.0,6378.0,0BwAB3cQny,Noise-Shape-Speed-10,Pitch-Piano-H,Pitch-Piano-L,Noise-Tone-L,Noise-Tone-H,1
30,31.0,4531.0,0BwAB3cQny,Noise-Shape-Speed-10,Speed-SP1-H,Speed-SP1-L,Shape-BK3-L,Shape-BK3-H,0
31,32.0,6153.0,0BwAB3cQny,Noise-Shape-Speed-10,Amp-Pulse-L,Amp-Pulse-H,Speed-SP2-H,Speed-SP2-L,1
32,33.0,3305.0,0BwAB3cQny,Noise-Shape-Speed-10,Shape-BK3-L,Shape-BK3-H,Brightness-Squares-L,Brightness-Squares-H,1
33,34.0,3813.0,0BwAB3cQny,Noise-Shape-Speed-10,Shape-BK3-L,Shape-BK3-H,Noise-Hum-L,Noise-Hum-H,0
34,35.0,7292.0,0BwAB3cQny,Noise-Shape-Speed-10,Noise-Hum-L,Noise-Hum-H,Shape-BK2-L,Shape-BK2-H,0
35,36.0,5316.0,0BwAB3cQny,Noise-Shape-Speed-10,Shape-BK1-H,Shape-BK1-L,Pitch-Piano-L,Pitch-Piano-H,1
36,37.0,4766.0,0BwAB3cQny,Noise-Shape-Speed-10,Shape-BK1-L,Shape-BK1-H,Color-RY-L,Color-RY-H,0
37,38.0,3645.0,0BwAB3cQny,Noise-Shape-Speed-10,Shape-BK3-H,Shape-BK3-L,Affect-EB-H,Affect-EB-L,1
38,39.0,4374.0,0BwAB3cQny,Noise-Shape-Speed-10,Speed-SP4-L,Speed-SP4-H,Affect-EB-L,Affect-EB-H,0
39,40.0,4368.0,0BwAB3cQny,Noise-Shape-Speed-10,Speed-SP1-L,Speed-SP1-H,Shape-BK4-L,Shape-BK4-H,0
40,41.0,3636.0,0BwAB3cQny,Noise-Shape-Speed-10,Shape-BK1-L,Shape-BK1-H,Affect-EB-H,Affect-EB-L,0
41,42.0,4142.0,0BwAB3cQny,Noise-Shape-Speed-10,Brightness-Squares-L,Brightness-Squares-H,Noise-Tone-L,Noise-Tone-H,1
42,43.0,4635.0,0BwAB3cQny,Noise-Shape-Speed-10,Speed-SP1-L,Speed-SP1-H,Color-RY-L,Color-RY-H,1
43,44.0,5054.0,0BwAB3cQny,Noise-Shape-Speed-10,Speed-SP1-H,Speed-SP1-L,Brightness-Squares-H,Brightness-Squares-L,0
44,45.0,3136.0,0BwAB3cQny,Noise-Shape-Speed-10,Affect-EB-L,Affect-EB-H,Speed-SP3-H,Speed-SP3-L,1
45,46.0,4110.0,0BwAB3cQny,Noise-Shape-Speed-10,Pitch-Piano-H,Pitch-Piano-L,Speed-SP3-L,Speed-SP3-H,0
46,47.0,3034.0,0BwAB3cQny,Noise-Shape-Speed-10,Speed-SP4-L,Speed-SP4-H,Brightness-Squares-H,Brightness-Squares-L,1
47,48.0,4477.0,0BwAB3cQny,Noise-Shape-Speed-10,Noise-Hum-L,Noise-Hum-H,Color-RY-H,Color-RY-L,1
48,49.0,4446.0,0BwAB3cQny,Noise-Shape-Speed-10,Shape-BK1-L,Shape-BK1-H,Amp-Pulse-L,Amp-Pulse-H,0
49,50.0,2646.0,0BwAB3cQny,Noise-Shape-Speed-10,Color-RY-L,Color-RY-H,Speed-SP3-L,Speed-SP3-H,1
50,51.0,3220.0,0BwAB3cQny,Noise-Shape-Speed-10,Speed-SP4-L,Speed-SP4-H,Amp-Pulse-L,Amp-Pulse-H,0
51,52.0,3979.0,0BwAB3cQny,Noise-Shape-Speed-10,Shape-BK1-H,Shape-BK1-L,Noise-Hum-L,Noise-Hum-H,1
52,53.0,4279.0,0BwAB3cQny,Noise-Shape-Speed-10,Pitch-Piano-L,Pitch-Piano-H,Shape-BK4-L,Shape-BK4-H,0
53,54.0,3598.0,0BwAB3cQny,Noise-Shape-Speed-10,Shape-BK3-L,Shape-BK3-H,Pitch-Piano-L,Pitch-Piano-H,0
54,55.0,3967.0,0BwAB3cQny,Noise-Shape-Speed-10,Shape-BK3-H,Shape-BK3-L,Speed-SP3-H,Speed-SP3-L,0
55,56.0,4399.0,0BwAB3cQny,Noise-Shape-Speed-10,Shape-BK3-H,Shape-BK3-L,Amp-Pulse-H,Amp-Pulse-L,1
56,57.0,3620.0,0BwAB3cQny,Noise-Shape-Speed-10,Color-RY-H,Color-RY-L,Shape-BK2-H,Shape-BK2-L,0
57,58.0,4551.0,0BwAB3cQny,Noise-Shape-Speed-10,Shape-BK1-H,Shape-BK1-L,Speed-SP1-L,Speed-SP1-H,1
58,59.0,7125.0,0BwAB3cQny,Noise-Shape-Speed-10,Noise-Pulse-H,Noise-Pulse-L,Amp-Pulse-H,Amp-Pulse-L,1
59,60.0,4592.0,0BwAB3cQny,Noise-Shape-Speed-10,Speed-SP1-H,Speed-SP1-L,Noise-Tone-L,Noise-Tone-H,0
60,61.0,3835.0,0BwAB3cQny,Noise-Shape-Speed-10,Noise-Pulse-L,Noise-Pulse-H,Shape-BK3-L,Shape-BK3-H,0
61,62.0,3831.0,0BwAB3cQny,Noise-Shape-Speed-10,Amp-Pulse-H,Amp-Pulse-L,Shape-BK4-H,Shape-BK4-L,1
