"X","trialNum","rt","subject","condition","InducerL","InducerR","ConcurrentL","ConcurrentR","choice"
57,58,12021,"07v6VRVWrL","Brightness-Amp-Affect-12","Noise-Pulse-L","Noise-Pulse-H","Brightness-Circles-H","Brightness-Circles-L",0
58,59,4860,"07v6VRVWrL","Brightness-Amp-Affect-12","Brightness-Triangles-H","Brightness-Triangles-L","Shape-BK3-L","Shape-BK3-H",0
59,60,2989,"07v6VRVWrL","Brightness-Amp-Affect-12","Brightness-Triangles-H","Brightness-Triangles-L","Color-RB-L","Color-RB-H",1
60,61,3620,"07v6VRVWrL","Brightness-Amp-Affect-12","Brightness-Triangles-L","Brightness-Triangles-H","Pitch-Hum-H","Pitch-Hum-L",1
61,62,5593,"07v6VRVWrL","Brightness-Amp-Affect-12","Pitch-Hum-H","Pitch-Hum-L","Amp-Pulse-H","Amp-Pulse-L",0
62,63,6467,"07v6VRVWrL","Brightness-Amp-Affect-12","Affect-SC-L","Affect-SC-H","Noise-Pulse-H","Noise-Pulse-L",1
63,64,3589,"07v6VRVWrL","Brightness-Amp-Affect-12","Affect-SC-L","Affect-SC-H","Color-RB-L","Color-RB-H",0
64,65,4069,"07v6VRVWrL","Brightness-Amp-Affect-12","Amp-Pulse-L","Amp-Pulse-H","Affect-HS-H","Affect-HS-L",1
65,66,4252,"07v6VRVWrL","Brightness-Amp-Affect-12","Amp-Hum-H","Amp-Hum-L","Color-RB-H","Color-RB-L",0
66,67,3884,"07v6VRVWrL","Brightness-Amp-Affect-12","Color-RB-L","Color-RB-H","Brightness-Circles-L","Brightness-Circles-H",1
67,68,2509,"07v6VRVWrL","Brightness-Amp-Affect-12","Affect-PD-L","Affect-PD-H","Speed-SP1-H","Speed-SP1-L",1
68,69,3756,"07v6VRVWrL","Brightness-Amp-Affect-12","Pitch-Hum-L","Pitch-Hum-H","Brightness-Squares-L","Brightness-Squares-H",0
69,70,7651,"07v6VRVWrL","Brightness-Amp-Affect-12","Affect-PD-H","Affect-PD-L","Noise-Pulse-L","Noise-Pulse-H",0
70,71,3907,"07v6VRVWrL","Brightness-Amp-Affect-12","Noise-Pulse-H","Noise-Pulse-L","Affect-EB-H","Affect-EB-L",1
71,72,4475,"07v6VRVWrL","Brightness-Amp-Affect-12","Brightness-Diamonds-H","Brightness-Diamonds-L","Noise-Pulse-L","Noise-Pulse-H",0
72,73,2597,"07v6VRVWrL","Brightness-Amp-Affect-12","Brightness-Diamonds-H","Brightness-Diamonds-L","Speed-SP1-H","Speed-SP1-L",0
73,74,3157,"07v6VRVWrL","Brightness-Amp-Affect-12","Size-Squares-H","Size-Squares-L","Affect-EB-H","Affect-EB-L",1
74,75,3795,"07v6VRVWrL","Brightness-Amp-Affect-12","Affect-SC-H","Affect-SC-L","Amp-Pulse-H","Amp-Pulse-L",0
75,76,4460,"07v6VRVWrL","Brightness-Amp-Affect-12","Amp-Hum-H","Amp-Hum-L","Affect-PD-L","Affect-PD-H",1
76,77,8602,"07v6VRVWrL","Brightness-Amp-Affect-12","Amp-Hum-L","Amp-Hum-H","Pitch-Hum-H","Pitch-Hum-L",1
77,78,3780,"07v6VRVWrL","Brightness-Amp-Affect-12","Speed-SP1-L","Speed-SP1-H","Amp-Pulse-H","Amp-Pulse-L",1
78,79,3004,"07v6VRVWrL","Brightness-Amp-Affect-12","Brightness-Triangles-H","Brightness-Triangles-L","Affect-PD-L","Affect-PD-H",1
79,80,3547,"07v6VRVWrL","Brightness-Amp-Affect-12","Color-RB-L","Color-RB-H","Amp-Pulse-L","Amp-Pulse-H",1
80,81,3788,"07v6VRVWrL","Brightness-Amp-Affect-12","Brightness-Triangles-L","Brightness-Triangles-H","Size-Squares-H","Size-Squares-L",1
81,82,2605,"07v6VRVWrL","Brightness-Amp-Affect-12","Shape-BK3-H","Shape-BK3-L","Affect-EB-L","Affect-EB-H",1
82,83,2389,"07v6VRVWrL","Brightness-Amp-Affect-12","Shape-BK3-L","Shape-BK3-H","Brightness-Squares-H","Brightness-Squares-L",1
83,84,3514,"07v6VRVWrL","Brightness-Amp-Affect-12","Size-Squares-L","Size-Squares-H","Amp-Pulse-L","Amp-Pulse-H",0
