"X","trialNum","rt","subject","condition","InducerL","InducerR","ConcurrentL","ConcurrentR","choice"
84,85,4059,"0hyFge02V3","Brightness-Amp-Affect-11","Amp-Pulse-H","Amp-Pulse-L","Speed-SP2-L","Speed-SP2-H",1
85,86,2300,"0hyFge02V3","Brightness-Amp-Affect-11","Affect-EB-L","Affect-EB-H","Brightness-Triangles-L","Brightness-Triangles-H",0
86,87,7073,"0hyFge02V3","Brightness-Amp-Affect-11","Noise-Piano-H","Noise-Piano-L","Amp-Hum-L","Amp-Hum-H",0
87,88,4255,"0hyFge02V3","Brightness-Amp-Affect-11","Amp-Piano-H","Amp-Piano-L","Shape-BK3-L","Shape-BK3-H",1
88,89,3554,"0hyFge02V3","Brightness-Amp-Affect-11","Amp-Pulse-H","Amp-Pulse-L","Brightness-Triangles-L","Brightness-Triangles-H",1
89,90,3332,"0hyFge02V3","Brightness-Amp-Affect-11","Affect-EB-H","Affect-EB-L","Color-RY-L","Color-RY-H",0
90,91,5843,"0hyFge02V3","Brightness-Amp-Affect-11","Amp-Piano-H","Amp-Piano-L","Pitch-Hum-H","Pitch-Hum-L",1
91,92,5094,"0hyFge02V3","Brightness-Amp-Affect-11","Affect-HS-H","Affect-HS-L","Pitch-Hum-L","Pitch-Hum-H",0
92,93,3598,"0hyFge02V3","Brightness-Amp-Affect-11","Size-Squares-H","Size-Squares-L","Affect-SC-H","Affect-SC-L",0
93,94,2357,"0hyFge02V3","Brightness-Amp-Affect-11","Affect-EB-L","Affect-EB-H","Shape-BK3-H","Shape-BK3-L",0
94,95,3124,"0hyFge02V3","Brightness-Amp-Affect-11","Shape-BK3-H","Shape-BK3-L","Brightness-Circles-L","Brightness-Circles-H",0
95,96,8068,"0hyFge02V3","Brightness-Amp-Affect-11","Affect-EB-H","Affect-EB-L","Pitch-Hum-L","Pitch-Hum-H",0
0,1,5634,"0n9FgftmIS","Amp-Size-Speed-13","Brightness-Circles-L","Brightness-Circles-H","Amp-Piano-H","Amp-Piano-L",1
1,2,8959,"0n9FgftmIS","Amp-Size-Speed-13","Size-Diamonds-L","Size-Diamonds-H","Noise-Tone-H","Noise-Tone-L",1
2,3,6759,"0n9FgftmIS","Amp-Size-Speed-13","Amp-Pulse-H","Amp-Pulse-L","Speed-SP4-L","Speed-SP4-H",1
3,4,6630,"0n9FgftmIS","Amp-Size-Speed-13","Size-Circles-H","Size-Circles-L","Pitch-Piano-H","Pitch-Piano-L",1
4,5,4762,"0n9FgftmIS","Amp-Size-Speed-13","Size-Diamonds-H","Size-Diamonds-L","Affect-PD-L","Affect-PD-H",1
5,6,7053,"0n9FgftmIS","Amp-Size-Speed-13","Speed-SP4-L","Speed-SP4-H","Noise-Tone-L","Noise-Tone-H",0
6,7,9537,"0n9FgftmIS","Amp-Size-Speed-13","Amp-Piano-L","Amp-Piano-H","Speed-SP3-L","Speed-SP3-H",0
7,8,5197,"0n9FgftmIS","Amp-Size-Speed-13","Speed-SP4-H","Speed-SP4-L","Amp-Piano-L","Amp-Piano-H",1
8,9,5528,"0n9FgftmIS","Amp-Size-Speed-13","Size-Diamonds-H","Size-Diamonds-L","Amp-Piano-H","Amp-Piano-L",0
9,10,6631,"0n9FgftmIS","Amp-Size-Speed-13","Speed-SP2-L","Speed-SP2-H","Shape-BK1-L","Shape-BK1-H",0
10,11,5413,"0n9FgftmIS","Amp-Size-Speed-13","Shape-BK1-L","Shape-BK1-H","Amp-Piano-H","Amp-Piano-L",1
11,12,6079,"0n9FgftmIS","Amp-Size-Speed-13","Size-Circles-L","Size-Circles-H","Amp-Piano-H","Amp-Piano-L",1
12,13,9370,"0n9FgftmIS","Amp-Size-Speed-13","Noise-Tone-L","Noise-Tone-H","Speed-SP1-H","Speed-SP1-L",0
13,14,6105,"0n9FgftmIS","Amp-Size-Speed-13","Amp-Piano-L","Amp-Piano-H","Size-Squares-L","Size-Squares-H",0
14,15,3723,"0n9FgftmIS","Amp-Size-Speed-13","Size-Circles-H","Size-Circles-L","Amp-Piano-L","Amp-Piano-H",1
15,16,7026,"0n9FgftmIS","Amp-Size-Speed-13","Speed-SP4-L","Speed-SP4-H","Size-Squares-H","Size-Squares-L",0
16,17,7617,"0n9FgftmIS","Amp-Size-Speed-13","Size-Diamonds-L","Size-Diamonds-H","Pitch-Piano-L","Pitch-Piano-H",1
17,18,8063,"0n9FgftmIS","Amp-Size-Speed-13","Affect-PD-H","Affect-PD-L","Amp-Piano-L","Amp-Piano-H",1
